generation,best_fitness,mean_fitness,fitness_std,best_completion_ratio,best_mean_response,best_energy,jobs_in_snapshot,satellites_in_snapshot,stagnation_generations,world_reset
188,0.6,0.5541379551820728,0.08540995380105884,1.0,23.4,336.0,20,10,0,0
189,0.6,0.5629720782959124,0.07933114948247923,1.0,23.4,336.0,20,10,1,0
190,0.6,0.5491904761904762,0.08903645512504714,1.0,23.4,336.0,20,10,2,0
191,0.6,0.5535932069510268,0.0906703999671969,1.0,23.4,336.0,20,10,3,0
192,0.6,0.5574189996854356,0.08681117237933586,1.0,23.4,336.0,20,10,4,0
193,0.6,0.5643639291465378,0.08506755010509892,1.0,23.4,336.0,20,10,5,0
194,0.6,0.5453663446054751,0.0982833915906354,1.0,23.4,336.0,20,10,6,0
195,0.6,0.5636050420168067,0.07559261505148043,1.0,23.4,336.0,20,10,7,0
196,0.6,0.5751415539477823,0.06989461571184634,1.0,23.4,336.0,20,10,8,0
197,0.6,0.5630078125,0.08064887423666377,1.0,23.4,336.0,20,10,9,0
198,0.6,0.5575977266426393,0.0823439035330232,1.0,23.4,336.0,20,10,0,1
199,0.6,0.5709605097545626,0.07563602558147632,1.0,23.45,336.0,20,10,0,0
200,0.6,0.5622772485289996,0.0788089730452512,1.0,23.45,336.0,20,10,1,0
